date,post_type,likes,comments,shares,saves,reach,impressions,followers
2024-10-01,Reel,4200,180,320,540,28000,45000,42800
2024-10-03,Static Post,1800,95,120,210,12000,19000,42950
2024-10-05,Carousel,2900,140,280,480,19000,31000,43100
2024-10-07,Reel,5100,220,410,680,34000,54000,43400
2024-10-10,Story,980,45,60,90,8000,11000,43400
2024-10-12,Carousel,3400,160,310,520,22000,36000,43700
2024-10-14,Reel,6200,290,520,810,41000,65000,44200
2024-10-17,Static Post,1500,80,100,180,10000,16000,44300
2024-10-19,Carousel,2700,130,260,440,17000,28000,44500
2024-10-21,Reel,4800,210,390,630,32000,51000,44900
2024-10-24,Static Post,1200,65,85,150,9000,14000,45000
2024-10-26,Carousel,3100,150,290,490,20000,33000,45200
2024-10-28,Reel,5600,260,480,750,38000,60000,45700
2024-10-31,Story,850,40,55,80,7000,10000,45700
2024-11-02,Reel,4900,225,400,650,33000,52000,46200
2024-11-04,Carousel,3300,155,300,505,21000,34000,46500
2024-11-06,Static Post,1650,88,108,195,11000,17500,46600
2024-11-08,Reel,6500,305,540,840,43000,68000,47200
2024-11-11,Carousel,3600,170,320,540,23000,38000,47600
2024-11-13,Reel,5300,245,450,710,36000,57000,48100
2024-11-15,Static Post,1400,75,95,170,9500,15000,48200
2024-11-18,Carousel,2800,135,270,455,18000,29000,48400
2024-11-20,Reel,7100,330,580,900,47000,74000,49100
2024-11-22,Story,920,42,58,85,7500,10500,49100
2024-11-25,Carousel,3800,180,340,570,25000,41000,49600
2024-11-27,Reel,5800,270,500,780,39000,62000,50200
2024-11-29,Static Post,1700,90,112,200,11500,18000,50300
2024-12-02,Reel,6800,315,560,870,45000,71000,51000
2024-12-04,Carousel,3500,165,315,525,22500,37000,51400
2024-12-06,Static Post,1550,82,102,188,10500,16500,51500
2024-12-09,Reel,7400,345,600,930,49000,77000,52300
2024-12-11,Carousel,4000,190,355,595,26000,43000,52800
2024-12-13,Reel,6100,285,520,805,41000,65000,53400
2024-12-16,Static Post,1800,95,118,210,12000,19000,53600
2024-12-18,Carousel,3700,175,335,560,24000,39500,53900
2024-12-20,Reel,8200,380,650,1010,54000,85000,54800
2024-12-23,Story,1050,48,65,95,8500,12000,54800
2024-12-26,Reel,7600,355,620,960,50000,79000,55700
2024-12-28,Carousel,4100,195,360,605,27000,44500,56100
2024-12-30,Static Post,1900,100,122,218,12500,20000,56300
2025-01-02,Reel,8500,395,670,1040,56000,88000,57400
