date,video_title,views,watch_time_hours,likes,comments,subscribers_gained,ctr,avg_view_duration
2024-10-01,Marketing Analytics Basics,8200,410,620,145,180,4.8,5:42
2024-10-05,How to Read Data Insights,6100,305,480,112,130,4.2,4:58
2024-10-09,Instagram Growth Hacks 2024,9800,490,740,178,220,5.6,4:42
2024-10-13,Email Marketing Deep Dive,5400,270,410,98,115,3.9,4:29
2024-10-17,Social Media ROI Explained,7300,365,560,134,158,4.5,4:52
2024-10-21,Content Calendar Strategy,6800,340,520,124,148,4.3,4:44
2024-10-25,YouTube Algorithm Secrets,11200,560,840,202,255,6.1,4:58
2024-10-29,Brand Building for Beginners,5900,295,450,108,125,3.8,4:36
2024-11-02,Data Driven Marketing,8600,430,650,156,188,5.0,4:56
2024-11-06,Influencer Marketing Metrics,7100,355,540,130,155,4.4,4:48
2024-11-10,SEO vs Paid Ads in 2024,9400,470,710,170,210,5.4,4:52
2024-11-14,Customer Journey Mapping,6400,320,490,118,140,4.1,4:40
2024-11-18,A/B Testing for Marketers,8100,405,615,148,178,4.9,4:54
2024-11-22,Building a Marketing Funnel,7600,380,578,138,165,4.6,4:50
2024-11-26,Analytics Tools Comparison,6200,310,472,113,135,4.0,4:38
2024-11-30,Holiday Campaign Strategy,10500,525,795,190,238,5.8,4:56
2024-12-04,Year in Review Marketing,9100,455,690,165,198,5.2,4:52
2024-12-08,Reels vs TikTok Strategy,12400,620,935,224,282,6.8,4:58
2024-12-12,Budget Allocation Guide,7400,370,562,135,162,4.5,4:48
2024-12-16,Personal Branding 101,8800,440,665,160,192,5.1,4:54
2024-12-20,2025 Marketing Predictions,14200,710,1070,256,322,7.4,4:58
2024-12-24,Content Ideas for January,9600,480,726,174,214,5.5,4:52
2024-12-28,Year End Analytics Review,8300,415,628,150,182,5.0,4:54
2025-01-02,New Year Marketing Goals,11800,590,890,214,268,6.4,4:56
